CrimeDate,CrimeTime,CrimeCode,Location,Description,Weapon,Neighborhood,Location 1
3/5/16,9:25:00,6B,5000 HARFORD RD,LARCENY,,Waltherson,"(39.3473800000, -76.5655800000)"
3/5/16,1:30:00,4E,1500 RUSSELL ST,COMMON ASSAULT,HANDS,Carroll - Camden Industrial Area,"(39.2740800000, -76.6276900000)"
3/5/16,10:00:00,5A,200 ROBERT ST,BURGLARY,,Bolton Hill,"(39.3097100000, -76.6302900000)"
3/5/16,10:18:00,7A,1700 BRADDISH AVE,AUTO THEFT,,Coppin Heights/Ash-Co-East,"(39.3076100000, -76.6610000000)"
3/5/16,10:38:00,4E,2400 KERMIT CT,COMMON ASSAULT,HANDS,Westport,"(39.2627300000, -76.6407500000)"
3/5/16,11:00:00,5B,5100 PLAINFIELD AVE,BURGLARY,,Frankford,"(39.3324800000, -76.5502400000)"
3/5/16,11:30:00,4C,1000 WILMOT CT,AGG. ASSAULT,OTHER,Oldtown,"(39.2993600000, -76.6033400000)"
3/5/16,11:30:00,4B,1000 WILMOT CT,AGG. ASSAULT,KNIFE,Oldtown,"(39.2993600000, -76.6033400000)"
3/5/16,1:05:00,3AF,1000 E PRATT ST,ROBBERY - STREET,FIREARM,Little Italy,"(39.2879500000, -76.6014000000)"
3/5/16,11:30:00,6D,0 W PRATT ST,LARCENY FROM AUTO,,Downtown West,"(39.2865000000, -76.6153500000)"
3/5/16,12:00:00,7A,RD & DARLEY AV,AUTO THEFT,,East Baltimore Midway,"(39.3150300000, -76.5971300000)"
3/5/16,12:14:00,4E,6800 BOSTON AVE,COMMON ASSAULT,HANDS,Graceland Park,"(39.2803300000, -76.5301200000)"
3/5/16,12:14:00,4D,6800 BOSTON AVE,AGG. ASSAULT,HANDS,Graceland Park,"(39.2803300000, -76.5301200000)"
3/5/16,12:20:00,3NF,500 E 28TH ST,ROBBERY - STREET,FIREARM,Better Waverly,"(39.3221700000, -76.6092200000)"
3/5/16,12:30:00,6G,3200 GREENMOUNT AVE,LARCENY,,Abell,"(39.3273100000, -76.6094500000)"
3/5/16,12:47:00,4D,500 GOLD ST,AGG. ASSAULT,HANDS,Druid Heights,"(39.3081700000, -76.6384500000)"
3/5/16,13:58:00,6C,100 N WOLFE ST,LARCENY,,Washington Hill,"(39.2932300000, -76.5905300000)"
3/5/16,15:45:00,6A,HOWARD ST & W LEXINGTON ST,LARCENY,,Downtown,"(39.2915500000, -76.6195700000)"
3/5/16,0:29:00,4B,5400 PARK HEIGHTS AVE,AGG. ASSAULT,KNIFE,Arlington,"(39.3503400000, -76.6805500000)"
